piece,color,row,column,cpl
0,0,3,4,29
0,0,1,0,29
0,0,1,1,29
0,0,1,2,29
0,0,1,3,29
0,0,1,5,29
0,0,1,6,29
0,0,1,7,29
0,1,6,0,29
0,1,6,1,29
0,1,6,2,29
0,1,6,3,29
0,1,6,4,29
0,1,6,5,29
0,1,6,6,29
0,1,6,7,29
0,0,3,4,47
0,0,1,0,47
0,0,1,1,47
0,0,1,2,47
0,0,1,3,47
0,0,1,5,47
0,0,1,6,47
0,0,1,7,47
0,1,6,0,47
0,1,6,1,47
0,1,6,2,47
0,1,6,3,47
0,1,6,5,47
0,1,6,6,47
0,1,6,7,47
0,1,5,4,47
0,0,3,3,43
0,0,3,4,43
0,0,1,0,43
0,0,1,1,43
0,0,1,2,43
0,0,1,5,43
0,0,1,6,43
0,0,1,7,43
0,1,6,0,43
0,1,6,1,43
0,1,6,2,43
0,1,6,3,43
0,1,6,5,43
0,1,6,6,43
0,1,6,7,43
0,1,5,4,43
0,0,3,3,36
0,0,3,4,36
0,0,1,0,36
0,0,1,1,36
0,0,1,2,36
0,0,1,5,36
0,0,1,6,36
0,0,1,7,36
0,1,6,0,36
0,1,6,1,36
0,1,6,2,36
0,1,6,5,36
0,1,6,6,36
0,1,6,7,36
0,1,5,4,36
0,1,4,3,36
0,0,3,3,44
0,0,3,4,44
0,0,1,0,44
0,0,1,1,44
0,0,1,2,44
0,0,1,5,44
0,0,1,6,44
0,0,1,7,44
0,1,6,0,44
0,1,6,1,44
0,1,6,2,44
0,1,6,5,44
0,1,6,6,44
0,1,6,7,44
0,1,5,4,44
0,1,4,3,44
0,0,3,3,60
0,0,3,4,60
0,0,1,0,60
0,0,1,1,60
0,0,1,2,60
0,0,1,5,60
0,0,1,6,60
0,0,1,7,60
0,1,6,0,60
0,1,6,1,60
0,1,6,2,60
0,1,6,5,60
0,1,6,6,60
0,1,6,7,60
0,1,5,4,60
0,1,4,3,60
0,0,4,4,60
0,0,3,3,60
0,0,1,0,60
0,0,1,1,60
0,0,1,2,60
0,0,1,5,60
0,0,1,6,60
0,0,1,7,60
0,1,6,0,60
0,1,6,1,60
0,1,6,2,60
0,1,6,5,60
0,1,6,6,60
0,1,6,7,60
0,1,5,4,60
0,1,4,3,60
0,0,4,4,101
0,0,3,3,101
0,0,1,0,101
0,0,1,1,101
0,0,1,2,101
0,0,1,5,101
0,0,1,6,101
0,0,1,7,101
0,1,6,0,101
0,1,6,1,101
0,1,6,2,101
0,1,6,5,101
0,1,6,6,101
0,1,6,7,101
0,1,5,4,101
0,1,4,3,101
0,0,4,4,64
0,0,3,3,64
0,0,2,0,64
0,0,1,1,64
0,0,1,2,64
0,0,1,5,64
0,0,1,6,64
0,0,1,7,64
0,1,6,0,64
0,1,6,1,64
0,1,6,2,64
0,1,6,5,64
0,1,6,6,64
0,1,6,7,64
0,1,5,4,64
0,1,4,3,64
0,0,4,4,71
0,0,3,3,71
0,0,2,0,71
0,0,1,1,71
0,0,1,2,71
0,0,1,5,71
0,0,1,6,71
0,0,1,7,71
0,1,6,0,71
0,1,6,1,71
0,1,6,2,71
0,1,6,5,71
0,1,6,6,71
0,1,6,7,71
0,1,5,4,71
0,1,4,3,71
0,0,4,4,64
0,0,3,3,64
0,0,2,0,64
0,0,2,2,64
0,0,1,2,64
0,0,1,5,64
0,0,1,6,64
0,0,1,7,64
0,1,6,0,64
0,1,6,1,64
0,1,6,2,64
0,1,6,5,64
0,1,6,6,64
0,1,6,7,64
0,1,5,4,64
0,1,4,3,64
0,0,4,4,60
0,0,3,3,60
0,0,2,0,60
0,0,2,2,60
0,0,1,2,60
0,0,1,5,60
0,0,1,6,60
0,0,1,7,60
0,1,6,0,60
0,1,6,1,60
0,1,6,5,60
0,1,6,6,60
0,1,6,7,60
0,1,5,4,60
0,1,4,2,60
0,1,4,3,60
0,0,4,4,39
0,0,3,0,39
0,0,3,3,39
0,0,2,2,39
0,0,1,2,39
0,0,1,5,39
0,0,1,6,39
0,0,1,7,39
0,1,6,0,39
0,1,6,1,39
0,1,6,5,39
0,1,6,6,39
0,1,6,7,39
0,1,5,4,39
0,1,4,2,39
0,1,4,3,39
0,0,4,4,42
0,0,3,0,42
0,0,3,3,42
0,0,2,2,42
0,0,1,2,42
0,0,1,5,42
0,0,1,6,42
0,0,1,7,42
0,1,6,0,42
0,1,6,1,42
0,1,6,5,42
0,1,6,6,42
0,1,6,7,42
0,1,5,4,42
0,1,4,2,42
0,1,4,3,42
0,0,4,4,39
0,0,3,0,39
0,0,3,3,39
0,0,2,2,39
0,0,1,2,39
0,0,1,5,39
0,0,1,6,39
0,0,1,7,39
0,1,6,0,39
0,1,6,1,39
0,1,6,5,39
0,1,6,6,39
0,1,6,7,39
0,1,5,4,39
0,1,4,2,39
0,1,4,3,39
0,0,4,4,37
0,0,3,0,37
0,0,3,3,37
0,0,2,2,37
0,0,1,2,37
0,0,1,5,37
0,0,1,6,37
0,0,1,7,37
0,1,6,0,37
0,1,6,1,37
0,1,6,5,37
0,1,6,6,37
0,1,6,7,37
0,1,5,4,37
0,1,4,2,37
0,1,4,3,37
0,0,4,4,31
0,0,3,0,31
0,0,3,3,31
0,0,2,2,31
0,0,1,2,31
0,0,1,5,31
0,0,1,6,31
0,0,1,7,31
0,1,6,0,31
0,1,6,1,31
0,1,6,5,31
0,1,6,6,31
0,1,6,7,31
0,1,5,4,31
0,1,4,2,31
0,1,4,3,31
0,0,4,4,43
0,0,3,0,43
0,0,3,3,43
0,0,2,2,43
0,0,1,2,43
0,0,1,5,43
0,0,1,6,43
0,0,1,7,43
0,1,6,0,43
0,1,6,1,43
0,1,6,5,43
0,1,6,6,43
0,1,6,7,43
0,1,5,4,43
0,1,4,2,43
0,1,4,3,43
0,0,4,4,43
0,0,3,0,43
0,0,3,3,43
0,0,2,2,43
0,0,1,2,43
0,0,1,5,43
0,0,1,6,43
0,0,1,7,43
0,1,6,0,43
0,1,6,1,43
0,1,6,5,43
0,1,6,6,43
0,1,6,7,43
0,1,5,4,43
0,1,4,2,43
0,1,4,3,43
0,0,4,4,23
0,0,3,0,23
0,0,3,3,23
0,0,2,2,23
0,0,1,2,23
0,0,1,5,23
0,0,1,6,23
0,0,1,7,23
0,1,6,0,23
0,1,6,1,23
0,1,6,5,23
0,1,6,6,23
0,1,6,7,23
0,1,5,4,23
0,1,4,3,23
0,1,3,2,23
0,0,4,4,34
0,0,3,0,34
0,0,3,3,34
0,0,2,2,34
0,0,1,2,34
0,0,1,5,34
0,0,1,6,34
0,0,1,7,34
0,1,6,0,34
0,1,6,1,34
0,1,6,5,34
0,1,6,6,34
0,1,6,7,34
0,1,5,4,34
0,1,4,3,34
0,1,3,2,34
0,0,4,4,51
0,0,3,0,51
0,0,3,3,51
0,0,2,2,51
0,0,1,2,51
0,0,1,5,51
0,0,1,6,51
0,0,1,7,51
0,1,6,0,51
0,1,6,1,51
0,1,6,5,51
0,1,6,6,51
0,1,6,7,51
0,1,5,4,51
0,1,4,3,51
0,1,3,2,51
0,0,4,4,55
0,0,3,0,55
0,0,3,3,55
0,0,2,2,55
0,0,1,2,55
0,0,1,5,55
0,0,1,6,55
0,0,1,7,55
0,1,6,0,55
0,1,6,1,55
0,1,6,5,55
0,1,6,6,55
0,1,6,7,55
0,1,5,4,55
0,1,4,3,55
0,1,3,2,55
0,0,4,4,59
